time_local;id;event;fight_date;location;bout;weight_class;time_format;state;winner;method;det;round;last_round;time;fighter_r;bdy_val_r;bdy_tot_r;ctrl_r;hd_val_r;hd_tot_r;kd_r;lgs_val_r;lgs_tot_r;sigstr_val_r;sigstr_tot_r;subatt_r;td_val_r;td_tot_r;totstr_val_r;totstr_tot_r;ht_r;rch_r;sigstrkacc_r;sigstrklpm_r;stnce_r;subavg_r;tdacc_r;tdavg_r;wt_r;dob_r;fighter_b;bdy_val_b;bdy_tot_b;ctrl_b;hd_val_b;hd_tot_b;kd_b;lgs_val_b;lgs_tot_b;sigstr_val_b;sigstr_tot_b;subatt_b;td_val_b;td_tot_b;totstr_val_b;totstr_tot_b;ht_b;rch_b;sigstrkacc_b;sigstrklpm_b;stnce_b;subavg_b;tdacc_b;tdavg_b;wt_b;dob_b
08:57:58;401520450;UFC Fight Night: Lewis vs. Spivac;05/02/2023;Las Vegas, USA;Da Woon Jung vs. Devin Clark;Light Heavyweight;3 Rnd (5-5-5);in;B;U Dec;R3, 0:19;3;3;05:00;da_woon_jung;8;9;05:48;16;37;0;1;1;25;47;0;1;5;47;70;;;;;;;;;;12/07/1993;devin_clark;3;4;04:52;27;47;0;8;10;38;61;0;2;10;88;118;;;;;;;;;;04/12/1990
08:58:03;401520450;UFC Fight Night: Lewis vs. Spivac;05/02/2023;Las Vegas, USA;Da Woon Jung vs. Devin Clark;Light Heavyweight;3 Rnd (5-5-5);in;B;U Dec;End R3;3;3;05:00;da_woon_jung;9;10;05:48;17;40;0;1;1;27;51;0;1;5;50;75;;;;;;;;;;12/07/1993;devin_clark;4;5;04:42;29;53;0;8;10;41;68;0;3;11;93;127;;;;;;;;;;04/12/1990
08:58:09;401520450;UFC Fight Night: Lewis vs. Spivac;05/02/2023;Las Vegas, USA;Da Woon Jung vs. Devin Clark;Light Heavyweight;3 Rnd (5-5-5);in;B;U Dec;End R3;3;3;05:00;da_woon_jung;9;10;05:48;17;40;0;1;1;27;51;0;1;5;50;75;;;;;;;;;;12/07/1993;devin_clark;4;5;04:42;29;53;0;8;10;41;68;0;3;11;93;127;;;;;;;;;;04/12/1990
08:58:14;401520450;UFC Fight Night: Lewis vs. Spivac;05/02/2023;Las Vegas, USA;Da Woon Jung vs. Devin Clark;Light Heavyweight;3 Rnd (5-5-5);in;B;U Dec;End R3;3;3;05:00;da_woon_jung;9;10;05:48;17;40;0;1;1;27;51;0;1;5;50;75;;;;;;;;;;12/07/1993;devin_clark;4;5;04:42;29;53;0;8;10;41;68;0;3;11;93;127;;;;;;;;;;04/12/1990
08:58:19;401520450;UFC Fight Night: Lewis vs. Spivac;05/02/2023;Las Vegas, USA;Da Woon Jung vs. Devin Clark;Light Heavyweight;3 Rnd (5-5-5);in;B;U Dec;End R3;3;3;05:00;da_woon_jung;9;10;05:48;17;40;0;1;1;27;51;0;1;5;50;75;;;;;;;;;;12/07/1993;devin_clark;4;5;04:42;29;53;0;8;10;41;68;0;3;11;93;127;;;;;;;;;;04/12/1990
08:58:25;401520450;UFC Fight Night: Lewis vs. Spivac;05/02/2023;Las Vegas, USA;Da Woon Jung vs. Devin Clark;Light Heavyweight;3 Rnd (5-5-5);in;B;U Dec;End R3;3;3;05:00;da_woon_jung;9;10;05:48;17;40;0;1;1;27;51;0;1;5;50;75;;;;;;;;;;12/07/1993;devin_clark;4;5;04:42;29;53;0;8;10;41;68;0;3;11;93;127;;;;;;;;;;04/12/1990
08:58:30;401520450;UFC Fight Night: Lewis vs. Spivac;05/02/2023;Las Vegas, USA;Da Woon Jung vs. Devin Clark;Light Heavyweight;3 Rnd (5-5-5);in;B;U Dec;R3, 0:19;3;3;05:00;da_woon_jung;8;9;05:48;16;37;0;1;1;25;47;0;1;5;47;70;;;;;;;;;;12/07/1993;devin_clark;3;4;04:52;27;47;0;8;10;38;61;0;2;10;88;118;;;;;;;;;;04/12/1990
08:58:36;401520450;UFC Fight Night: Lewis vs. Spivac;05/02/2023;Las Vegas, USA;Da Woon Jung vs. Devin Clark;Light Heavyweight;3 Rnd (5-5-5);in;B;U Dec;R3, 0:19;3;3;05:00;da_woon_jung;8;9;05:48;16;37;0;1;1;25;47;0;1;5;47;70;;;;;;;;;;12/07/1993;devin_clark;3;4;04:52;27;47;0;8;10;38;61;0;2;10;88;118;;;;;;;;;;04/12/1990
08:58:42;401520450;UFC Fight Night: Lewis vs. Spivac;05/02/2023;Las Vegas, USA;Da Woon Jung vs. Devin Clark;Light Heavyweight;3 Rnd (5-5-5);in;B;U Dec;End R3;3;3;05:00;da_woon_jung;9;10;05:48;17;40;0;1;1;27;51;0;1;5;50;75;;;;;;;;;;12/07/1993;devin_clark;4;5;04:42;29;53;0;8;10;41;68;0;3;11;93;127;;;;;;;;;;04/12/1990
08:58:47;401520450;UFC Fight Night: Lewis vs. Spivac;05/02/2023;Las Vegas, USA;Da Woon Jung vs. Devin Clark;Light Heavyweight;3 Rnd (5-5-5);in;B;U Dec;End R3;3;3;05:00;da_woon_jung;9;10;05:48;17;40;0;1;1;27;51;0;1;5;50;75;;;;;;;;;;12/07/1993;devin_clark;4;5;04:42;29;53;0;8;10;41;68;0;3;11;93;127;;;;;;;;;;04/12/1990
08:58:52;401520450;UFC Fight Night: Lewis vs. Spivac;05/02/2023;Las Vegas, USA;Da Woon Jung vs. Devin Clark;Light Heavyweight;3 Rnd (5-5-5);in;B;U Dec;End R3;3;3;05:00;da_woon_jung;9;10;05:48;17;40;0;1;1;27;51;0;1;5;50;75;;;;;;;;;;12/07/1993;devin_clark;4;5;04:42;29;53;0;8;10;41;68;0;3;11;93;127;;;;;;;;;;04/12/1990
08:58:58;401520450;UFC Fight Night: Lewis vs. Spivac;05/02/2023;Las Vegas, USA;Da Woon Jung vs. Devin Clark;Light Heavyweight;3 Rnd (5-5-5);in;B;U Dec;End R3;3;3;05:00;da_woon_jung;9;10;05:48;17;40;0;1;1;27;51;0;1;5;50;75;;;;;;;;;;12/07/1993;devin_clark;4;5;04:42;29;53;0;8;10;41;68;0;3;11;93;127;;;;;;;;;;04/12/1990
08:59:03;401520450;UFC Fight Night: Lewis vs. Spivac;05/02/2023;Las Vegas, USA;Da Woon Jung vs. Devin Clark;Light Heavyweight;3 Rnd (5-5-5);in;B;U Dec;End R3;3;3;05:00;da_woon_jung;9;10;05:48;17;40;0;1;1;27;51;0;1;5;50;75;;;;;;;;;;12/07/1993;devin_clark;4;5;04:42;29;53;0;8;10;41;68;0;3;11;93;127;;;;;;;;;;04/12/1990
08:59:08;401520450;UFC Fight Night: Lewis vs. Spivac;05/02/2023;Las Vegas, USA;Da Woon Jung vs. Devin Clark;Light Heavyweight;3 Rnd (5-5-5);in;B;U Dec;End R3;3;3;05:00;da_woon_jung;9;10;05:48;17;40;0;1;1;27;51;0;1;5;50;75;;;;;;;;;;12/07/1993;devin_clark;4;5;04:42;29;53;0;8;10;41;68;0;3;11;93;127;;;;;;;;;;04/12/1990
08:59:14;401520450;UFC Fight Night: Lewis vs. Spivac;05/02/2023;Las Vegas, USA;Da Woon Jung vs. Devin Clark;Light Heavyweight;3 Rnd (5-5-5);in;B;U Dec;End R3;3;3;05:00;da_woon_jung;9;10;05:48;17;40;0;1;1;27;51;0;1;5;50;75;;;;;;;;;;12/07/1993;devin_clark;4;5;04:42;29;53;0;8;10;41;68;0;3;11;93;127;;;;;;;;;;04/12/1990
08:59:20;401520450;UFC Fight Night: Lewis vs. Spivac;05/02/2023;Las Vegas, USA;Da Woon Jung vs. Devin Clark;Light Heavyweight;3 Rnd (5-5-5);post;B;U Dec;Final;-;3;05:00;da_woon_jung;9;10;05:48;17;40;0;1;1;27;51;0;1;5;50;75;;;;;;;;;;12/07/1993;devin_clark;4;5;05:02;29;53;0;8;10;41;68;0;3;11;93;127;;;;;;;;;;04/12/1990
08:59:38;401520450;UFC Fight Night: Lewis vs. Spivac;05/02/2023;Las Vegas, USA;Da Woon Jung vs. Devin Clark;Light Heavyweight;3 Rnd (5-5-5);post;B;U Dec;Final;-;3;05:00;da_woon_jung;9;10;05:48;17;40;0;1;1;27;51;0;1;5;50;75;;;;;;;;;;12/07/1993;devin_clark;4;5;05:02;29;53;0;8;10;41;68;0;3;11;93;127;;;;;;;;;;04/12/1990
08:59:57;401520450;UFC Fight Night: Lewis vs. Spivac;05/02/2023;Las Vegas, USA;Da Woon Jung vs. Devin Clark;Light Heavyweight;3 Rnd (5-5-5);post;B;U Dec;Final;-;3;05:00;da_woon_jung;9;10;05:48;17;40;0;1;1;27;51;0;1;5;50;75;;;;;;;;;;12/07/1993;devin_clark;4;5;05:02;29;53;0;8;10;41;68;0;3;11;93;127;;;;;;;;;;04/12/1990
09:00:15;401520450;UFC Fight Night: Lewis vs. Spivac;05/02/2023;Las Vegas, USA;Da Woon Jung vs. Devin Clark;Light Heavyweight;3 Rnd (5-5-5);post;B;U Dec;Final;-;3;05:00;da_woon_jung;9;10;05:48;17;40;0;1;1;27;51;0;1;5;50;75;;;;;;;;;;12/07/1993;devin_clark;4;5;05:02;29;53;0;8;10;41;68;0;3;11;93;127;;;;;;;;;;04/12/1990
09:00:33;401520450;UFC Fight Night: Lewis vs. Spivac;05/02/2023;Las Vegas, USA;Da Woon Jung vs. Devin Clark;Light Heavyweight;3 Rnd (5-5-5);post;B;U Dec;Final;-;3;05:00;da_woon_jung;9;10;05:48;17;40;0;1;1;27;51;0;1;5;50;75;;;;;;;;;;12/07/1993;devin_clark;4;5;05:02;29;53;0;8;10;41;68;0;3;11;93;127;;;;;;;;;;04/12/1990
